Country Name,Indicator Name,Year,Value
Arab World,CO2 emissions (metric tons per capita),1952,
Arab World,Domestic credit provided by financial sector (% of GDP),1952,
Arab World,Electric power consumption (kWh per capita),1952,
Arab World,Energy use (kg of oil equivalent per capita),1952,
Arab World,Exports of goods and services (% of GDP),1952,
Arab World,Imports of goods and services (% of GDP),1952,
Caribbean small states,CO2 emissions (metric tons per capita),1952,
Caribbean small states,Domestic credit provided by financial sector (% of GDP),1952,
Caribbean small states,Electric power consumption (kWh per capita),1952,
Caribbean small states,Energy use (kg of oil equivalent per capita),1952,
Caribbean small states,Exports of goods and services (% of GDP),1952,
Caribbean small states,Imports of goods and services (% of GDP),1952,
Central Europe and the Baltics,CO2 emissions (metric tons per capita),1952,
Central Europe and the Baltics,Domestic credit provided by financial sector (% of GDP),1952,
Central Europe and the Baltics,Electric power consumption (kWh per capita),1952,
Central Europe and the Baltics,Energy use (kg of oil equivalent per capita),1952,
Central Europe and the Baltics,Exports of goods and services (% of GDP),1952,
Central Europe and the Baltics,Imports of goods and services (% of GDP),1952,
Early-demographic dividend,CO2 emissions (metric tons per capita),1952,
Early-demographic dividend,Domestic credit provided by financial sector (% of GDP),1952,
Early-demographic dividend,Electric power consumption (kWh per capita),1952,
Early-demographic dividend,Energy use (kg of oil equivalent per capita),1952,
Early-demographic dividend,Exports of goods and services (% of GDP),1952,
Early-demographic dividend,Imports of goods and services (% of GDP),1952,
East Asia & Pacific,CO2 emissions (metric tons per capita),1952,
East Asia & Pacific,Domestic credit provided by financial sector (% of GDP),1952,
East Asia & Pacific,Electric power consumption (kWh per capita),1952,
East Asia & Pacific,Energy use (kg of oil equivalent per capita),1952,
East Asia & Pacific,Exports of goods and services (% of GDP),1952,
East Asia & Pacific,Imports of goods and services (% of GDP),1952,
East Asia & Pacific (excluding high income),CO2 emissions (metric tons per capita),1952,
East Asia & Pacific (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
East Asia & Pacific (excluding high income),Electric power consumption (kWh per capita),1952,
East Asia & Pacific (excluding high income),Energy use (kg of oil equivalent per capita),1952,
East Asia & Pacific (excluding high income),Exports of goods and services (% of GDP),1952,
East Asia & Pacific (excluding high income),Imports of goods and services (% of GDP),1952,
East Asia & Pacific (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
East Asia & Pacific (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
East Asia & Pacific (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
East Asia & Pacific (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
East Asia & Pacific (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
Euro area,CO2 emissions (metric tons per capita),1952,
Euro area,Domestic credit provided by financial sector (% of GDP),1952,
Euro area,Electric power consumption (kWh per capita),1952,
Euro area,Energy use (kg of oil equivalent per capita),1952,
Euro area,Exports of goods and services (% of GDP),1952,
